ËõĞ´	Ó¢ÎÄ	ÖĞÎÄ	Àà±ğ
null	Phasing	ÏàÎ»Ğ£Õı£¬ÒÆÏàĞ§¹û	null
null	Phon	·½£¨Ïì¶Èµ¥Î»£©	null
null	Phone	¶ú»ú£¬¶ú»ú²å¿Ú	null
null	Phoneme	ÒôËØ	null
PHS	phaser	ÒÆÏàÆ÷	null
null	Physiological acoustics	ÉúÀíÉùÑ§	null
PI	phase inversion	µ¹Ïà	null
PIA	peripheral interface adapter	ÍâÎ§½Ó¿ÚÊÊÅäÆ÷	null
null	Pianotron	µç×Ó¸ÖÇÙ	null
null	Piano	¸ÖÇÙ	null
null	Piano whine	¸ÖÇÙÃùÉù	null
null	Piccolo	¶ÌµÑ	null
null	Pick-up	Ê°ÒôÆ÷£¬³ªÍ·£¬´«¸ĞÆ÷	null
null	Piezoelectric polymer earphone	Ñ¹µç¾ÛºÏÎï¶ú»ú	null
null	Pilot	Ö¸Ê¾Æ÷£¬µ÷½ÚÆ÷	null
null	Pilot jack	¼àÌı²å¿×	null
null	Pin	ÕëĞÍ²å¿Ú£¬²»Æ½ºâÒôÆµ²å¿Ú	null
PIN	position indercator	Î»ÖÃÖ¸Ê¾Æ÷	null
PIN	positive-intrinsic-negative	Õı-±¾-¸º	null
null	Pinboard	×ª½Ó°å£¬²å½Ó°å	null
null	Ping	±¬ÃùÉù£¬ÉùÏì	null
null	Pink noise	·ÛºìÔëÉù	null
null	Pipe	¹Ü£¬µÑ	null
null	Pitch	Òô¸ß£¬Òôµ÷	null
null	Pitch shifter	±äµ÷Æ÷£¬ÒÆÆµÆ÷	null
PK	peak	Ï÷²¨£¨µÆ£©£¬·åÖµ	null
PL	parental lock	·ÀÖ¹Îó¶¯Ëø¶¨	null
PL	phase lock	ÏàÎ»Ëø¶¨£¬ËøÏà	null
PL	pilot lamp	Ö¸Ê¾µÆ	null
PL	pre listen	Ô¤¼àÌı£¬Ë¥¼õÇ°¼àÌı	null
null	Place	ÖÃÈë£¬Æğ×÷ÓÃ	null
null	Placement	Á¬½Ó·½Ê½	null
null	Plate	½ğÊô°åĞ§¹û£¬°å»ìÏìÆ÷	null
null	Play	²¥·Å£¬ÖØ·Å£¬µ¯×à	null
null	Playback	²¥·Å	null
null	Player	³ª»ú£¬·ÅÒôÆ÷	null
null	Plesoelectric supper tweeters	Ñ¹µçÊ½³¬¸ßÒôÀ®°È	null
PLL	phase locked loop	ËøÏà»ØÂ·	null
PLR	plate reverb	½ğÊô°å»ìÏì	null
null	Plug	²åÍ·	null
null	Plunge	ÇĞÈë	null
PMPO	peak music power output	ÒôÀÖ·åÖµ¹¦ÂÊÊä³ö	null
PN	pseudo noise	Î±Ëæ»úÔëÉù	null
null	Pneumatic loudspeaker	Æø¶¯ÑïÉùÆ÷	null
PNM	pulse number modulation	Âö³åÊıµ÷ÖÆ£¬Âö³åÃÜ¶Èµ÷ÖÆ	null
null	Point	½Óµã£¬Î»ÖÃ£¬½»»ãµã	null
null	Point soure	µãÉùÔ´	null
null	Pointer	Ö¸Ê¾Æ÷£¬Ö¸Õë	null
null	Polarity	¼«ĞÔ	null
null	Poly	¸´Òô£¬¶àÂ·£¬¶à	null
null	Pop	Í»È»£¬±¬ÆÆÒô£¬£¨»°Í²½ü½²Ê±µÄ£©ÆøÏ¢àÛàÛÉù	null
null	Pop filter	àÛÉùÂË³ıÆ÷	null
null	Pops	Á÷ĞĞÒôÀÖ£¬Á÷ĞĞÒôÀÖÒôÏìĞ§¹û	null
null	Portamento	»¬Òô	null
null	Ported reflex	Ô¤·ÅÓ³	null
null	Position	Î»ÖÃ£¬×´Ì¬	null
POSITVE	positive	Ñô¼«	null
Q	quality factor	Æ·ÖÊÒòÊı£¬QÖµ£¬Æµ´ø¿í¶È	null
QD	quadrant	ÏóÏŞ	null
QD	quick disconnect	Ñ¸ËÙ¶Ï¿ª	null
null	Quack	àĞÔÓÉù	null
QUAD	quadriphonic	ËÄÉùµÀÁ¢ÌåÉù	null
null	Quadrature	Õı½»£¬90¶ÈÏàÎ»²î£¬¾«µ÷	null
null	Quality	ÒôÖÊ£¬ÉùÒô	null
QUANT	quantitative	¶¨Á¿µÄ	null
QUANT	quantize	Á¿»¯£¬Êı×Ö»¯	null
null	Quantizing	Á¿»¯	null
null	Quartz synthesized FM/AM digital tuner	Ê¯Ó¢¾§ÌåÆµÂÊºÏ³ÉÊ½µ÷Æµ/µ÷·ùÊı×Öµ÷Ğ³Æ÷	null
null	Quartz PLL frequency synthesizer	¾§ÌåÏúÏà»·ÆµÂÊ	null
null	Quaver	°Ë·ÖÒô·û	null
null	Quench	¶Ï¿ª£¬ÒÖÖÆ	null
null	Quint	Îå¶È£¬´ÎÈı±¶Òô	null
null	Quiver	²ü¶¯Éù	null
null	Ribbon microphone	ÂÁ´ø»°Í²£¬Ñ¹Á¦´ø»°Í²	null
null	Richness	·áÂú¶È	null
null	Rhythm	½Ú×à	null
null	Right	ÓÒÉùµÀ£¬´¹Ö±µÄ£¬ÊÊµ±µÄ	null
null	Ring	»·£¬´óÈıĞ¾»·¶Ë£¬Àä¶Ë½Óµã£¬ÕñÁå	null
null	Ring mode	Éù·´À¡ÁÙ½çÕñÁåÕñµ´ÏÖÏó	null
null	Rit	½¥Âı	null
RF	radio frequency	ÉäÆµ£¬¸ßÆµ	null
RM	regular matrix record	Õı¹æ¾ØÕóÊ½ËÄÂ·³ªÆ¬	null
RM	ring modulation	»·ĞÎµ÷ÖÆÆ÷	null
RMD	fing mode decoupling	£¨ÒôÏä£©ÕñÁåÍËñî¼¼Êõ	null
RMR	room reverb	·¿¼ä»ìÏì	null
RMS	random music sensor	Ëæ»úÒôÀÖÌ½²âÆ÷	null
null	Rms root mean square	ÓĞĞ§Öµ	null
RND	random	Ëæ»úµÄ	null
RNG	ring	ÕñÁå	null
null	Roadrack	×¨ÒµÆ÷²Ä¼Ü	null
null	Rock	Ò¡¹öÀÖ¡¢Ò¡¹öÀÖÒôÏìĞ§¹û	null
null	Rod antenna	À­¸ËÌìÏß	null
RODS	reverberation on demand system	»ìÏìÇëÇóÏµÍ³	null
null	Rolloff	¸ßµÍÆµ¹æÂÉĞÔË¥¼õ£¬¹ö½µ	null
ROM	read only memory	Ö»¶Á´æ´¢Æ÷	null
null	Room	·¿¼ä	null
null	Rose	½ÓÏßºĞ	null
null	Rotary	Ğı×ª	null
RT60	Reverberation time	»ìÏìÊ±¼ä	null
null	Rough	´ÖµÄ£¬´Ö²ÚµÄ£¬½üËÆµÄ	null
null	Routing	»ìºÏÄ¸ÏßÑ¡Ôñ	null
RP	record playback	Â¼·Å	null
RP	repeater	ÔöÒô×ª·¢Æ÷	null
RPLC	replace	Ìæ»»	null
RSS	Roland sound space processing system	ÂŞÀ¼Éù¿Õ¼ä´¦ÀíÏµÍ³	null
RT	rael time	ÊµÊ±·ÖÎö	null
RT	recovery time	»Ö¸´Ê±¼ä	null
RT	return	·µ»Ø	null
RTA	real time analyzer	ÊµÊ±·ÖÎö£¨ÒÇ£©£¬ÆµÆ×·ÖÎö£¨ÒÇ£©	null
RTS	real time simulator	ÊµÊ±Ä£Äâ	null
RTS	real time system	ÊµÊ±ÏµÍ³	null
RTY	rotary	Ğı×ª£¨ÑïÉùÆ÷£©	null
null	Rubber corrugated ri loudspeaker	ÏğÆ¤±ßÑïÉùÆ÷	null
null	Ruby stylus	ºì±¦Ê¯³ªÕë	null
null	Rumba	Â×°Í	null
null	Rumble	£¨µÍÆµ£©Â¡Â¡Éù	null
RV	rendezvous	»á¾Ûµã	null
RVS	reverse shift	·´ÏòÒÆ¶¯	null
RZ	return to zero	¹éÁã	null
null	Reversal	·´Ïà£¬Ïà·´£¬·´×ª£¬¸Ä±ä¼«ĞÔ	null
null	Reverse	»Ø¸´£¬·­×ª£¬·´»ìÏì	null
null	Revert	¸´Ô­£¬·µ»Ø	null
null	Review	¼ì²é£¬¸´²é£¬ÖØ¸´	null
null	Revolve	Ğı×ª£¬Ñ­»·	null
REW	rewind	¿ìËÙµ¹´ø	null
RF	radio frequency	ÉäÆµ	null
RF	reception fair	½ÓÊÕÇé¿öÁ¼ºÃ	null
RFI	RF interface	ÉäÆµ½Ó¿Ú	null
RFI	RF interferece	ÉäÆµ¸ÉÈÅ	null
null	Revcolor	»ìÏìÈ¾É«Éù	null
RPS	direct program	Ö±½Ó½ÚÄ¿ËÑÑ°£¬¿¨À­OKËÑË÷	null
R	receiver	½ÓÊÕ»ú	null
R	register	¼Ä´æÆ÷	null
R	right	ÓÒÉùµÀ	null
null	Rack	»ú¼Ü£¬Ö§¼Ü£¬»ú¹ñ£¬¹æ¶¨¿í¶È£¬Õğ¶¯Éù	null
null	Radiation	·øÉä	null
null	Radio	ÎŞÏßµç£¬ÊÕÒô»ú£¬ÉäÆµ	null
null	Ram random access memory	Ëæ»ú´æ´¢Æ÷	null
null	RAM	ÌîÈë£¬×°Èë	null
RAN	random	Ëæ»úµÄ£¬ÈÎÒâµÄ£¬ÎŞ¹æÔòµÄ	null
null	Range	·¶Î§£¬×î´óÌáË¥Á¿£¬·ù¶È	null
null	Rate	±ÈÂÊ£¬ËÙÂÊ£¬±ä»¯ÂÊ£¬ÆµÂÊ	null
null	Ratio	Ñ¹Ëõ±È£¬À©Õ¹±È£¬±È£¬ÏµÊı	null
RCA	radio corporation of America	ÃÀ¹úÎŞÏßµç¹«Ë¾	null
RCA	jack	Á«»¨½Ó¿Ú	null
null	R-CH	ÓÒÉùµÀ	null
R-DAT	rotary head-DAT	Ğı×ª´ÅÍ·Ê½Êı×ÖÂ¼Òô»ú	null
RE	rack earth	Íâ¿Ç½ÓµØ	null
RE	reset	¸´Î»	null
RE	right end	ÓÒ¶Ë	null
null	Reactance	µç¿¹	null
null	Readjustment	ÖØµ÷	null
null	Ready	Ô¤±¸£¬×¼±¸Íê±Ï	null
null	Rear	±³Ãæ£¬ºó²¿£¬ºóÖÃ	null
REC	recording	Â¼Òô£¬¼ÇÂ¼£¬Â¼ÖÆ	null
null	Recall	ÕĞ»Ø£¬µ÷³ö£¬ÖØÂ¼	null
null	Receiver	½ÓÊÜ»ú£¬½ÓÊÜÆ÷	null
null	Recharge	ÔÙ³äµç	null
null	Record	¼ÇÂ¼£¬Â¼ÖÆ£¬³ªÆ¬	null
null	Recorder	Â¼Òô»ú	null
null	Recovery	»Ö¸´£¬¸´Ô­	null
null	Red	ºìÉ«	null
null	Redo	ÔÙÖ´ĞĞ²Ù×÷	null
null	Reduce	¼õÉÙ£¬½µµÍ£¬ËõĞ¡	null
null	Reduction	Ñ¹Ëõ£¬Ë¥¼õ£¬ĞÎ³É	null
null	Reecho	»ØÉù	null
REF	Reference	ËµÃ÷Êé£¬²Î¿¼£¬»ù×¼£¬¶¨Î»	null
REF	Reflection	·´Éä	null
null	Refraction	ÕÛÉä	null
null	Refresh	»Ö¸´	null
REG	register	¼Ä´æÆ÷	null
REG	regulate	¿ØÖÆ£¬Ğ£×¼£¬µ÷½Ú	null
REGEN	regeneration	ÔÙÉú£¨»ìÏìÉùÕóĞÎ³É·½Ê½£©£¬Õı·´À¡	null
null	Rehearsal	ÅÅÁ·£¬Ô¤Ñİ	null
null	Reject	³ıÈ¥£¬ÂËÈ¥	null
null	Rejection	ÒÖÖÆ	null
null	Reinforcement	À©Éù	null
null	Relay	¼ÌµçÆ÷£¬ÖØ·Å£¬×ª·Å	null
null	Release	»Ö¸´Ê±¼ä£¬ÊÍ·Å£¬¶ÏÂ·Æ÷	null
null	Rename	¸ÄÃû£¬ÃüÃû	null
null	Remain	±£³Ö£¬Ê£Óà	null
REM	remote	Ò£¿ØµÄ£¬Ò£Ô¶µÄ£¬Ô¶¾àÀëµÄ	null
REM	removable	¿É²ğ×°µÄ	null
REM	remove	³ıÈ¥	null
null	Remain	ÓàÁ¿£¬×´Ì¬±£³Ö	null
null	Renumber	ÖØĞ´ºÅÂë	null
REP	repeat	ÖØ¸´£¬·´¸´£¬ÖØ·Å	null
null	Repeat mode	Ë«Ãæ·´¸´·ÅÒô£¨Â¼Òô»ú£©	null
null	Replacing	Ìæ»»£¬ÖÃ»»£¬¸´Î»	null
REQ	room equalizer	·¿¼ä¾ùºâÆ÷	null
null	Reset	¸´Î»£¬»Ö¸´£¬¹éÁã£¬ÖØ¸´£¬ÖØĞÂ°²×°	null
null	Resolution	·Ö±æÂÊ£¬·ÖÎö	null
null	Resonance	¹²Õñ£¬»ØÉù	null
RESP	response	ÏìÓ¦£¬ÌØĞÔÇúÏß£¬»Ø´ğ	null
null	Resistance	×è¿¹	null
null	Resister	µç×è	null
null	Resonance	¹²Ãù£¬Ğ³Õñ	null
null	Restraint	ĞİÖ¹·û£¬¾²Ö¹£¬Í£Ö¹	null
null	Restraint	ÒÖÖÆ£¬ÏŞÖÆÆ÷	null
RET	return	·µ»Ø£¬»ØËÍ	null
REV	reverse	µßµ¹£¬·´×ª	null
REV	reverberation	»ìÏì£¬²ĞÏì	null
null	Reverb depth control	»ìÏìÉî¶È¿ØÖÆ	null
RIAA	recording industry association of America	ÃÀ¹úÂ¼Òô¹¤ÒµĞ­»á	null
SAF	Safety	°²È«×°ÖÃ£¬±£ÏÕ×°ÖÃ£¬±£»¤×°ÖÃ	null
null	Safeguard by	·À»¤Æ÷	null
SALT	symmetry air load technique	¶Ô³Æ¿ÕÆø¸ºÔØ¼¼Êõ	null
null	Samba	É£°Í	null
null	Sample	ÉùÒôĞÅºÅÑùÆ·£¬²ÉÑù£¬È¡Ñù£¬³éÑù	null
null	Sampling	³éÑù£¬Âö³åµ÷ÖÆ	null
SAP	second audio program	µÚ¶şÌ×ÒôÆµ½ÚÄ¿	null
SAT	saturate	±¥ºÍĞ§¹û´¦Àí	null
null	Save	Öü´æ	null
null	Save	´æ´¢£¬±£´æ	null
null	Saxophoneb	Èø¿ËË¾¹Ü	null
null	Saxophome	¶¥À¡Ö±ÏßÌìÏß	null
SC	set clock	ÖÃÎ»Ê±ÖÓ	null
SC	sigmal control	ĞÅºÅ¿ØÖÆ	null
SC	subcarrier	¸±ÔØ²¨	null
SC	system controller	ÏµÍ³¿ØÖÆÆ÷	null
SC	scan	É¨Ãè	null
null	Scale	Òô½×£¬¿Ì¶È³ß±ê	null
null	Scale unit	±ê¶Èµ¥Î»£¬·ÖÆµÆ÷	null
null	Scan	ËÑË÷£¬¼ÇÂ¼£¬É¨Ãè	null
null	Scar	¼¤¹â³ªÆ¬ÉÏµÄÈ±Ïİ	null
null	SCART connector	Å·ÖŞ±ê×¼21½ÅAV½Ó¿Ú	null
null	Scattering	É¢Éä	null
null	Scene	Êµ¿ö£¬³¡Ãæ	null
SCH	search	ËÑË÷£¬Ñ°ÕÒ	null
null	Scheme	Éè¼ÆÍ¼£¬Ô­ÀíÍ¼	null
SCMS	serial copy management system	³ÉÌ×¸´ÖÆ¹ÜÀíÏµÍ³	null
null	Screw	ÂİË¿¶¤	null
null	Scrollback	»ØÕÒ	null
SCH	stereochrous	Á¢ÌåÉùºÏ³ª	null
null	Schmidt trigger	Ê©ÃÜÌØ´¥·¢Æ÷	null
null	Scintillation	ÉÁË¸£¬µ÷ÖÆÒıÆğµÄÔØÆµ±ä»¯	null
SCMS	successive copy manage system	Á¬Ğø¸´ÖÆ¹ÜÀíÏµÍ³£¨DATÉè±¸ÖĞ·ÀÖ¹¶à´Î×ªÂ¼½ÚÄ¿µÄÏµÍ³£©	null
null	Scoop	ìæ¶·£¬ÊÕ¼¯Æ÷	null
null	Scope	·¶Î§£¬ÏÔÊ¾Æ÷	null
null	Scoring	ÒôÀÖÂ¼Òô	null
SCR	signal to clutter ratio	ĞÅÔë±È	null
SCR	silicon controlled rectifier	¾§Õ¢¹ÜÕûÁ÷Æ÷	null
null	Scraper	¹ÎÉùÆ÷	null
null	Screen	ÆÁ±Î	null
SD	space division	¿Õ¼ä·Ö²¼	null
S-DAT	stationary head DAT	¹Ì¶¨´ÅÍ·DAT»ú	null
SDDS	sony dynamic digital sound	Ë÷Äá¶¯Ì¬Êı×Ö»·ÈÆÉùÏµÍ³	null
SDI	standard data interface	±ê×¼Êı¾İ½Ó¿Ú	null
SDLC	synchronous data link control	Í¬²½Êı¾İÁ´¿ØÖÆÆ÷	null
SE	single end	µ¥¶ËµÄ	null
SE	sound effect	ÒôÏìĞ§¹û	null
SE	storage element	´æ´¢Ôª¼ş	null
SE	support equipment	Ö§Ô®Éè±¸	null
SEA	soond effect amplifier	ÒôÏìĞ§¹û·Å´óÆ÷	null
SEA	special effects amplifier	ÌØÊâĞ§¹û·Å´óÆ÷	null
null	Search	ËÑË÷£¬É¨Ãè	null
null	Searcher	É¨ÃèÆ÷	null
SEC	Second	Ãë£¬µÚ¶ş	null
SECAM	sequential color and memory	µ÷ÆµĞĞÂÖ»»²ÊÉ«ÖÆÊ½	null
null	Section	µ¥Ôª£¬»·½Ú	null
null	Sectoral horm	ÉÈĞÎºÅÍ²	null
null	Security	±£ÏÕ£¬¼ÓËø	null
SED	system effectiveness demonstration	ÏµÍ³Ğ§¹ûÑİÊ¾	null
null	Seek	ËÑË÷	null
SEL	selector	Ñ¡Ôñ×°ÖÃ£¬Ñ°ÏßÆ÷£¬×ª»»¿ª¹Ø	null
null	Select	Ñ¡Ôñ	null
null	Selectivity	£¨ÊÕÒô»ú£©Ñ¡ÔñĞÔ	null
null	Semi-	°ë-	null
null	Semibreve	È«Òô·û	null
null	Semioctave	°ë¸ö°Ë¶ÈÒô	null
null	Semit	°ëÒô	null
SEN	sensor	´«¸ĞÆ÷	null
null	Send	ËÍ³ö£¬·¢ËÍ£¬·¢Éä	null
SENS	Sensitivity	ÁéÃô¶È	null
null	Sense	·Ö±æÂÊ	null
null	Sensor	´«¸ĞÆ÷	null
null	Sentinel	·¢ÉäÆ÷£¬´«ËÍÆ÷	null
SEP	standard electronic package	±ê×¼µç×Ó×é¼ş	null
SEP	system engineering process	ÏµÍ³¹¤³Ì´¦Àí	null
null	Separator	·ÖÀëÆ÷£¬·Ö½âÆ÷	null
null	Septieme	Æß±¶Òô	null
SEQ	sequencer	ÒôĞòÆ÷£¬¶¨ĞòÆ÷	null
SEQ	Stereo equalizer	Á¢ÌåÉù¾ùºâÆ÷	null
null	Sequence	ÅÅĞò£¬ĞòÁĞ	null
null	Series	ÏµÁĞ£¬´®Á¬	null
null	Service	Î¬ĞŞ£¬·şÎñ	null
null	Servo	ËÅ·ş»ú¹¹£¬Ëæ»úÏµÍ³	null
null	Servo motor	ËÅ·şÂí´ï	null
SES	spatial effect system	Á¢ÌåÉù¿Õ¼äĞ§¹ûÏµÍ³	null
null	Session	¸úËæ×Ô¶¯°é×à	null
null	Set	µ÷Õû£¬Éè¶¨£¬×°ÖÃ£¬¶¨Î»£¬½ÓÊÕ»ú	null
null	Setout	¿ªÊ¼£¬×¼±¸	null
null	Setup	Éè¶¨£¬¹¹³É£¬²Ëµ¥£¬×éºÏ£¬µ÷Õû	null
SFC	sound field composer	Éù³¡ºÏ³É×°ÖÃ	null
SFL	stereo flange	Á¢ÌåÉù·¨À¼Ïâ±ß	null
SFS	sound field synthesis	Éù³¡ºÏ³É	null
SG	signal generator	ĞÅºÅ·¢ÉúÆ÷	null
SGL	signal	ĞÅºÅ	null
null	S-hall small hall	Ğ¡ĞÍÌüÌÃĞ§¹û	null
null	Shake	Õğ¶¯	null
null	Shape	²¨ĞÎ£¬ÂÖÀÈ	null
null	Shaper	ÕûĞÎÆ÷£¬Âö³å³ÉĞÎ	null
null	Share drum	Ğ¡¾ü¹Ä	null
null	Sharpness	ÇåÎú¶È£¬ÏÊÃ÷¶È£¬Èñ¶È	null
null	Shelving	ÂË³ı£¬ÂË²¨´¦Àí	null
SHG	sub harmonic generator	´Î£¨·Ö£©Ğ³²¨·¢ÉúÆ÷	null
null	Shield	±£»¤£¬ÆÁ±Î	null
null	Shift	×ª»»£¬±äµ÷£¬ÒÆÆµ£¬Æ¯ÒÆ	null
null	Shock	³å»÷	null
null	Short	¶ÌµÄ	null
null	Short gate	¶ÌÊ±Ñ¡Í¨ÃÅ£¨»ìÏìĞ§¹û£©	null
null	Shower	Ö¸Ê¾Æ÷£¬ÏÔÊ¾Æ÷	null
SHUF	Shuffle	Ëæ»úË³Ğò½ÚÄ¿²¥·Å	null
null	Shunt	·ÖÂ·£¬²¢Áª	null
SHUTT	shuttle	±äËÙËÑË÷£¬Íù¸´	null
SI	sneak in	µ­Èë	null
null	Sibilance	³İÒô£¬ßĞÒô	null
null	Sibilant	ßĞÒô	null
null	Sibilation	ßĞÒô£¬¸ßÆµÉù»û±ä	null
SICS	sound image control system	ÉùÏñ¿ØÖÆÏµÍ³	null
null	Side	±ß£¬Ãæ£¬²àÃæ£¬·½Ãæ	null
null	Side chain	ÅÔÁ´	null
SIG	signal	ÉùÒôĞÅºÅ	null
null	Signature	ÌØÕ÷£¬ÒôÀÖµÄµ÷ºÅ	null
null	SIF	°éÒôÖĞÆµ	null
null	Silencer	¾²ÔëÆ÷	null
null	Silent	¾²Ôëµ÷Ğ³	null
null	Simple tone	´¿Òô	null
null	Simplex	µ¥¹¤	null
null	Simulate	Ä£ÄâµÄ	null
null	Simultaneous	Í¬²½£¬ÁªÁ¢	null
SINAD	signal to noise and distortion ratio	ĞÅºÅ¶ÔÔëÉùºÍÊ§Õæ±È	null
null	Sine wave	ÕıÏÒ²¨	null
null	Single	µ¥£¬µ¥´ÎµÄ£¬µ¥¶ÀµÄ£¬µ¥µú	null
SIP	solo in place	¶À×àÈëÎ»	null
SIP	standard information package	±ê×¼ĞÅÏ¢°ü	null
null	Siren	ĞıµÑ	null
null	Size	³ß´ç	null
null	Skew control	Å¤ÇúĞ£Õı£¬ÁâĞÎÊ§ÕæÆ÷	null
null	Skip	ÌøÔ¾£¬Ê¡ÂÔ	null
SL	signal level	ĞÅºÅµçÆ½	null
null	Slap	ÅÄ´òĞ§¹û	null
null	Slap back	É½¹È»ØÉù	null
null	Slap reverb	É½¹È»ìÏìĞ§¹û	null
null	Slate	Ô¤¶¨£¬±ê¼Ç£¬£¨Â¼Òôµ÷ÒôÌ¨£©±ê¼Ç¿ª¹Ø	null
null	Slave	´ÓÊôµÄ£¬´Ó»ú£¬´Ó¶¯µÄ	null
null	Sleep	Ë¯Ãß¶¨Ê±¿ª¹Ø£¬¾²Ö¹	null
null	Slew rate	Ë²Ì¬ÂÊ	null
null	Sliding tone	»¬Òô	null
null	Slope	Ğ±ÂÊ£¬ÆÂ¶È£¬¿çµ¼	null
null	Slow	ÂıËÙ	null
SLP	super long play	³¬³¤£¨Èı±¶£©Ê±¼ä²¥·Å	null
null	Sliding tone	»¬Òô	null
SLS	studio listen	Ñİ²¥ÊÒ¼àÌı	null
SM	sequential machine	Ê±Ğò»ú	null
SM	signal meter	ĞÅºÅÇ¿¶È¼Æ	null
SM	storage mark	´æ´¢±êÖ¾	null
null	Small club	Ğ¡¾ãÀÖ²¿Ğ§¹û	null
null	Smear	Ò·Î²£¬ÍÏÎ²£¬»ë×Ç²»Çå	null
null	Smear correction	ÍÏÎ²Ğ£Õı	null
SMF	Standard MIDI File	±ê×¼	null
SMP	sampler	È¡ÑùÆ÷	null
SMPTE	society of motion picture television engineers	£¨ÃÀ¹ú£©µçÓ°¼°µçÊÓ¹¤³ÌÊ¦Ñ§»á	null
SND	sound	ÉùÒô£¬ÒôÏì£¬°éÒô	null
null	Snake	¼¯ÌåÏß	null
null	Snapshot	Æ¬¶Î£¬³¡¾°×´Ì¬ÉèÖÃ	null
null	Snubber	»º³åÆ÷£¬¼õÕğÆ÷	null
SO	sneak out	µ­³ö	null
null	Socket	²å×ù£¬²å¿Ú	null
null	Soft	ÈíµÄ£¬ÈáºÍµÄ	null
null	Soft click	ÈáĞÔóéÎ»	null
null	Soft knee	Èí¹Õµã£¨Ñ¹ÏŞÆ÷£©	null
null	Soft-touch	Çá´¥Ê½	null
null	Software	¼ÆËã»úÈí¼ş	null
null	Solo	¶À³ª£¬¶À×à	null
null	Sone	ËÎ£¨Ïì¶Èµ¥Î»£©	null
null	Song	ÀÖÇú	null
null	Sound colum	ÉùÖù	null
null	Sound field	Éù³¡	null
null	Sound image	ÉùÏñ	null
null	Sound intensity	ÉùÇ¿	null
null	Sound shadow region	ÉùÓ°Çø	null
null	Sound cousole desk	µ÷ÒôÌ¨	null
null	Source	ÉùÔ´	null
SOS	sound on sound	µş¼ÓÂ¼Òô	null
SP	speaker	ÑïÉùÆ÷	null
SP	speed	ËÙ¶È	null
SP	standard-play	±ê×¼×ß´øËÙ¶ÈÂ¼·Å	null
SPA	stereo pan allochthonous	Á¢ÌåÉùÉùÏñÆ¯ÒÆ	null
null	Space	¼äÏ¶£¬¿Õ¼äĞ§¹û	null
null	Spaciousness	¿Õ¼ä¸Ğ	null
ST	stereo	Á¢ÌåÉù£¬Á¢Ìå	null
STI	speech transmission index	ÓïÑÔ´«ÊäÏµÍ³	null
null	Sticks	²Ù×÷¸Ë£¬°²ÖÃ£¬¿¨×Ó	null
null	Still	¾²Ö¹	null
STM	send test massage	·¢ËÍ²âÊÔĞÅºÅ	null
STO	stand point	Î»ÖÃ	null
STO	stereo	Á¢ÌåÉù	null
STO	stop	Í£Ö¹	null
STO	store	´æ´¢£¬´æ´¢Æ÷	null
STP	shielded twisted pnir	ÆÁ±ÎË«½ÊÏß	null
null	Strike note	»÷ÏÒÒô£¬×²»÷Éù	null
null	String instrument	ÏÒÀÖÆ÷	null
null	Strip	Ğ¶ÏÂ¸½ÊôÉè±¸£¬¹ìµÀ£¬Àà±ğ	null
null	Strobe	Ñ¡Í¨Âö³å£¬ÆµÉÁ·Åµç¹Ü	null
null	Strong	ÓĞÁ¦µÄ	null
null	Structure	×°ÖÃ£¬½á¹¹	null
STU	Studio	Ñİ²¥ÊÒĞ§¹û	null
null	SUB	¸±£¬¸¨Öú£¬¸½¼Ó£¬µÍÒô	null
null	Subgroup	¸±£¬£¨µ÷ÒôÌ¨µÄÍ¨µÀ¼¯ÖĞ¿ØÖÆÍøÂç£©±à×é	null
null	Suboctave	´Î°Ë¶È	null
null	Subsonic	´ÎÉù£¬³¬µÍÒô	null
null	Subwoofer	³¬µÍÒô	null
null	Sum	ºÍ£¬×ÜºÍ£¬×ÜÊı	null
SUP	Supply	µçÔ´	null
null	Supper	³¬	null
null	Super bass	³¬µÍÒô	null
null	Super over drive	³¬¼¤Àø	null
null	Suppressor	ÒÖÖÆÆ÷	null
null	Support programs	Ö§Ô®³ÌĞò	null
SUR	Surround	»·ÈÆÉù£¬»·ÈÆ£¬°üÎ§	null
null	Sustain	±£³Ö£¬Î¬³Ö	null
SVP	surge voltage protector	ÀËĞ¤µçÑ¹±£»¤Æ÷	null
SW	signal wire	ĞÅºÅÏß	null
SW	S-Wite	ÈûÌ×ÒıÏß	null
SW	switch	¿ª¹Ø£¬ÇĞ»»	null
SW	short wave	¶Ì²¨	null
null	Swap	½»»»£¬µ÷¶¯£¨µÈÁ¿Æë¹Û£©£¬µ÷»»	null
null	Sweep	É¨Ãè£¬ÇúÏß	null
null	Swell	ÔöÒôÆ÷	null
null	Swing	°Ú·ù£¬Ò¡°ÚÎè	null
null	Swishing	ì¬ì¬Éù	null
SX	simplex	µ¥¹¤	null
SXE	stereo exciter	Á¢ÌåÉù¼¤ÀøÆ÷	null
null	Symphobass	µ÷Ğ³µÍÒôÏµÍ³	null
null	Symphonic	½»Ïì£¬Ğ³Òô	null
SYS	Ex system expanding	ÏµÍ³À©Õ¹	null
TRIG	trigger	´¥·¢£¬´¥·¢Æ÷£¬´¥·¢Âö³å	null
null	Trim	µ÷Õû£¬Î¢µ÷£¬µ÷Ğ³£¬Ï÷²¨	null
TRK	track	Òô¹ì	null
